experiment,dataset,method,MSETest_mean,MSETest_std,RMSETest_mean,RMSETest_std,EnergyScoreTest_mean,EnergyScoreTest_std,CRPSTest_mean,CRPSTest_std,Gaussian NLLTest_mean,Gaussian NLLTest_std,C95Test_mean,C95Test_std,C90Test_mean,C90Test_std,C75Test_mean,C75Test_std,C50Test_mean,C50Test_std,MSEValidation_mean,MSEValidation_std,RMSEValidation_mean,RMSEValidation_std,EnergyScoreValidation_mean,EnergyScoreValidation_std,CRPSValidation_mean,CRPSValidation_std,Gaussian NLLValidation_mean,Gaussian NLLValidation_std,C95Validation_mean,C95Validation_std,C90Validation_mean,C90Validation_std,C75Validation_mean,C75Validation_std,C50Validation_mean,C50Validation_std,NumberParameters_mean,NumberParameters_std,n_runs
UCI,kin8nm,normal,0.00474136,0.0002688196429226342,0.068831525,0.0019429400515916428,0.0384134,0.0010476870510043083,0.03811249,0.0010480231927425649,-1.2242194100000001,0.045464652690714175,0.862759485,0.018073081861657795,0.79481075,0.02008447821597298,0.63394387,0.026528724204730056,0.40873015500000004,0.029026563655971827,,,,,,,,,,,,,,,,,,,419203.0,0.0,20
UCI,kin8nm,sample,0.004764630000000001,0.0002627443486296939,0.069001645,0.0018896927161717683,0.038557165,0.0009838731450510436,0.038258645,0.0009833429666060987,-1.21505496,0.04315766396457725,0.85854704,0.01331822802032891,0.79102565,0.01407443117771782,0.633211245,0.014589792329191024,0.4114774,0.016071957552798187,,,,,,,,,,,,,,,,,,,419073.0,0.0,20
UCI,naval-propulsion-plant,deterministic,0.0,0.0,0.000135245,1.0975977357272949e-05,7.9915e-05,9.029558187011789e-06,7.979499999999999e-05,9.034755989481602e-06,25.466645234999998,26.618829436939787,0.242665555,0.08086388112033492,0.20922046,0.07485071006367414,0.15704108,0.06606908748827445,0.095305945,0.04895130388652611,,,,,,,,,,,,,,,,,,,421505.0,0.0,20
UCI,naval-propulsion-plant,mixednormal,0.0,0.0,0.000122655,8.073704882290146e-06,5.41e-05,3.0068343206067985e-06,5.3565000000000006e-05,2.9684791427686735e-06,-7.994319365,0.09035754527907583,0.93797151,0.022120532640320257,0.8914501100000001,0.029446014458360925,0.750628665,0.03975436166027671,0.49723385000000003,0.03883118431661662,,,,,,,,,,,,,,,,,,,522123.0,0.0,20
UCI,naval-propulsion-plant,normal,0.0,0.0,0.000124335,9.707472704869665e-06,5.591e-05,5.01816699602554e-06,5.5395e-05,4.995732389276186e-06,-7.947507740000001,0.12780138182132209,0.923302595,0.030671332700207464,0.8711232250000001,0.038410154460464106,0.720955585,0.04973358693340341,0.473931275,0.04195030633902167,,,,,,,,,,,,,,,,,,,421763.0,0.0,20
UCI,naval-propulsion-plant,sample,0.0,0.0,0.00012365,9.014403678791543e-06,5.5020000000000005e-05,3.62819369296682e-06,5.4489999999999995e-05,3.5994005348844284e-06,-7.96438174,0.10991303999884543,0.9243923000000001,0.029024939520731232,0.8773679700000001,0.04066539740863492,0.734283325,0.051665815645131466,0.49601844,0.04982938669755133,,,,,,,,,,,,,,,,,,,421633.0,0.0,20
UCI,power-plant,deterministic,14.898320295,1.3249483281548236,3.856285295,0.1697800571313445,2.05576613,0.049498245102418,2.04034892,0.04910892745859212,2.9784248399999997,0.11900324629122927,0.81650991,0.018656627445605086,0.742319745,0.015144024213095282,0.5801462749999999,0.023112178742314853,0.367868325,0.02227620421202089,,,,,,,,,,,,,,,,,,,418433.0,0.0,20
UCI,power-plant,mixednormal,12.938899525,1.2439002312139569,3.593167075,0.1718317490453957,1.8204987200000002,0.06251322002027039,1.80545816,0.062400645388644545,2.9188029749999997,0.3022735905066588,0.8748171250000001,0.016464687580997988,0.81786831,0.01792358220251804,0.66938347,0.02027165181401178,0.43918494500000005,0.02046824496918079,,,,,,,,,,,,,,,,,,,519051.0,0.0,20
UCI,power-plant,normal,13.257734970000001,1.419419649785963,3.63625476,0.19299934778331954,1.8542428050000002,0.05872387316270039,1.8384732,0.0583791407274983,2.836526025,0.18710213093406577,0.8881922449999999,0.012842583217130485,0.8325496149999999,0.015546515558707421,0.68030301,0.018929002593038636,0.44555904,0.01972564202902565,,,,,,,,,,,,,,,,,,,418691.0,0.0,20
UCI,power-plant,sample,14.289147224999999,1.3234713352879977,3.7763038549999997,0.17374043574313425,1.951576605,0.06776549166186424,1.9341452799999999,0.06756864274068652,2.7695914299999997,0.084812808735865,0.9026123,0.010545665293280227,0.845193295,0.0132793859360833,0.6919540150000001,0.015041980699197356,0.45350051,0.014542366516488816,,,,,,,,,,,,,,,,,,,418561.0,0.0,20
